"mois","jour","hrmn","lum","dep","int","agg","com","atm","col","gps","lat","long","catr","circ","nbv","prof","plan","surf","situ","catu","place","sexe","an_nais","trajet","secu","catv","obsm","choc","manv","grav"
7,17,1515,"1",620,"2","2",785,"1","3","M",5034841,256060,"3","2","2","1","1","1","1","1","1","1",1983,"9","21","33","2","1","17","1"
7,17,1515,"1",620,"2","2",785,"1","3","M",5034841,256060,"3","2","2","1","1","1","1","1","1","2",1971,"9","11","7","2","3","15","0"
8,5,930,"1",620,"1","1",820,"1","2","M",5035631,247707,"3","2","2","1","1","1","1","1","1","1",1922,"5","11","7","2","1","1","0"
8,5,930,"1",620,"1","1",820,"1","2","M",5035631,247707,"3","2","2","1","1","1","1","1","1","1",1950,"5","11","7","2","4","1","0"
9,27,1500,"1",620,"1","1",45,"1","2","M",5034432,258517,"3","2","2","2","1","1","1","1","1","1",1960,"5","21","33","2","1","2","1"
9,27,1500,"1",620,"1","1",45,"1","2","M",5034432,258517,"3","2","2","2","1","1","1","1","1","1",1972,"5","11","7","2","4","2","0"
11,8,1645,"1",620,"1","2",45,"1","6","M",5035016,258092,"3","2","2","1","1","1","1","1","1","1",1983,"5","11","7","1","1","1","0"
5,24,945,"1",620,"1","1",45,"1","3","M",5034300,259147,"3","3","4","1","1","1","1","1","1","1",1936,"5","11","7","2","7","1","0"
5,24,945,"1",620,"1","1",45,"1","3","M",5034300,259147,"3","3","4","1","1","1","1","1","1","1",1963,"5","21","33","2","1","1","1"
8,17,1845,"1",620,"1","1",283,"1","3","M",5032485,228239,"3","2","2","1","1","1","1","1","1","1",1994,"4","11","10","2","1","9","1"
10,26,1130,"1",620,"1","2",361,"1","6","M",5027482,229206,"3","2","2","1","2","1","1","1","1","2",1980,"9","11","7","1","1","1","0"
11,28,930,"1",620,"1","1",859,"1","1","M",5023572,222997,"3","2","2","1","1","1","1","1","1","1",1981,"5","13","7","2","7","15","0"
11,28,930,"1",620,"1","1",859,"1","1","M",5023572,222997,"3","2","2","1","1","1","1","1","1","1",1994,"5","13","7","2","1","1","0"
2,4,1430,"1",800,"1","2",16,"1","6","M",5000321,265126,"4","2","2","1","1","1","1","1","1","1",1967,"3","11","7","1","2","1","0"
